"sei,5
segunda,19
todos..",5,
comunicação,5,
contratou,5,
certamente.,5,
meireles,5,
extremos,5,
ganhando,5,
julgar,5,
começo,5,
espero,5,
algum,5,
votaria,5,
fascista,5,
linda,5,
conheça,5,
centrão,5,
dialogar,5,
equipe,5,
sereno,5,
voto.,5,
fundador,5,
sorridente,5,
maravilhosa,5,
sentido,5,
bem.,5,
soma,5,
31%,5,
kátia,5,
ali,5,
ano,5,
superior,5,
(pt,5,
trazer,5,
bloco,5,
propor,5,
decidiu,5,
daciolo.,5,
sabotar,5,
centro-direita,5,
direitinho,5,
querer,5,
algumas,5,
cheios,5,
expressões,5,
apostavam,5,
decolar,5,
iram,5,
entraram,5,
desespero!,5,
igual,5,
#elenao,5,
preconceito,5,
novo,5,
declarando,5,
porcentagem,5,
capacidade,5,
organizar,5,
experiência,5,
melhorar,5,
máximo,5,
professores,5,
encontrou,5,
fds,5,
traçar,5,
ensino,5,
ideb,5,
referência,5,
frota,5,
sorrisinho,5,
mostram,5,
hahahaahaha,5,
denuncia,5,
gloria,5,
deuxxx!,5,
amado,5,
ajuda,5,
iriam,5,
alckmin.,5,
confirmar,5,
enxergar,5,
cartaz,5,
grudado,5,
próximo,5,
desafiando,5,
(ciro,5,
amarela,5,
#cirosim,5,
fazenda,5,
criticando,4,
contando,4,
suuuuuper,4,
repetido,4,
cansei,4,
basta,4,
condição,4,
enfrentar,4,
mais.,4,
tava,4,
ne,4,
hein...,4,
cenário,4,
voce,4,
argumento,4,
acabo,4,
perdendo,4,
paciência,4,
cu.,4,
obrigado,4,
gnt,4,
repito,4,
acredito,4,
bate,4,
sigo,4,
tendo,4,
folha,4,
ato,4,
leva,4,
sensatas,4,
aparece,4,
lembra,4,
simples,4,
rara,4,
credenciais,4,
estadista,4,
-,4,
propositivo,4,
lidera,4,
ajoelhando,4,
leonel,4,
câncer,4,
suspenderia,4,
concessão,4,
sustentou,4,
ditadura.,4,
destaque,4,
termina,4,
bolsonaristas,4,
62,4,
banco,4,
aula,4,
reflitam,4,
importantes,4,
faça,4,
liso,4,
alfinetadas,4,
preferencial,4,
afiado,4,
perdidos,4,
escanteado,4,
ursal,4,
dura,4,
continuar,4,
declarações,4,
usa,4,
adianta,4,
nordeste,4,
sai,4,
mente,4,
kkkk,4,
rindo,4,
porra,4,
tá,4,
malabarismo,4,
olímpico,4,
esquivar,4,
parâmetros,4,
certamente,4,
assustar.,4,
desde,4,
nessas,4,
exatamente,4,
busca,4,
indo,4,
anti,4,
maioria,4,
quisesse,4,
simplesmente,4,
mês,4,
cúpula,4,
estaria,4,
pronto,4,
transitar,4,
caótica,4,
retomar,4,
perspectiva,4,
progressita,4,
democrática,4,
